Tournament/Split,League,Date,Game,Map,Team 1,Team 2,T1A1,T1A1P,T1A2,T1A2P,T1A3,T1A3P,T1A4,T1A4P,T1A5,T1A5P,T2A1,T2A1P,T2A2,T2A2P,T2A3,T2A3P,T2A4,T2A4P,T2A5,T2A5P,Winner,Loser
Champions Tour 2025: China Kickoff LR1,China,"Jan 19, 2025",1,Fracture,NOVA,WOL,Brimstone,Ezeir,Cypher,GuanG,Raze,SWERL,Breach,o0o0o,Neon,CB,Brimstone,Juicy,Killjoy,Lysoar,Breach,Yuicaw,Tejo,SiuFatBB,Neon,Spring,NOVA,WOL
Champions Tour 2025: China Kickoff LR1,China,"Jan 19, 2025",2,Abyss,NOVA,WOL,Astra,Ezeir,Cypher,GuanG,KAY/O,o0o0o,Sova,CB,Jett,SWERL,Astra,Juicy,Cypher,Lysoar,KAY/O,Yuicaw,Sova,SiuFatBB,Jett,Spring,WOL,NOVA
Champions Tour 2025: China Kickoff LR1,China,"Jan 19, 2025",3,Split,NOVA,WOL,Astra,Ezeir,Vyse,GuanG,Deadlock,CB,Skye,o0o0o,Raze,SWERL,Omen,Juicy,Cypher,Yuicaw,Vyse,Lysoar,Skye,SiuFatBB,Raze,Spring,NOVA,WOL
Champions Tour 2025: Americas Kickoff Quarters,Americas,"Jan 19, 2025",1,Haven,LEV,FUR,Omen,kiNgg,Cypher,tex,Breach,nataNk,Sova,C0M,Jett,Demon1,Omen,Khalil,Cypher,heat,Breach,raafa,Sova,mwzera,Jett,havoc,LEV,FUR
Champions Tour 2025: Americas Kickoff Quarters,Americas,"Jan 19, 2025",2,Split,LEV,FUR,Omen,kiNgg,Cypher,tex,Viper,C0M,Skye,nataNk,Raze,Demon1,Omen,Khalil,Viper,heat,Sage,raafa,Skye,mwzera,Raze,havoc,LEV,FUR
Champions Tour 2025: Americas Kickoff Quarters,Americas,"Jan 19, 2025",1,Lotus,G2,C9,Omen,valyn,Viper,leaf,Breach,JonahP,Tejo,trent,Yoru,jawgemo,Omen,v1c,Deadlock,neT,Breach,mitch,Tejo,Xeppaa,Raze,OXY,G2,C9
Champions Tour 2025: Americas Kickoff Quarters,Americas,"Jan 19, 2025",2,Abyss,G2,C9,Astra,valyn,Chamber,leaf,Breach,JonahP,Sova,trent,Yoru,jawgemo,Astra,neT,Omen,v1c,KAY/O,mitch,Sova,Xeppaa,Jett,OXY,G2,C9
Champions Tour 2025: Pacific Kickoff Quarters,Pacific,"Jan 20, 2025",1,Lotus,DRX,NS,Omen,MaKo,Viper,Flashback,Tejo,freeing,Fade,BeYN,Raze,HYUNMIN,Omen,Persia,Cypher,margaret,Viper,Ivy,Fade,Francis,Neon,Dambi,DRX,NS
Champions Tour 2025: Pacific Kickoff Quarters,Pacific,"Jan 20, 2025",2,Pearl,DRX,NS,Astra,MaKo,Killjoy,Flashback,Tejo,freeing,Sova,BeYN,Jett,HYUNMIN,Astra,Persia,Killjoy,margaret,Vyse,Ivy,Skye,Francis,Neon,Dambi,NS,DRX
Champions Tour 2025: Pacific Kickoff Quarters,Pacific,"Jan 20, 2025",3,Fracture,DRX,NS,Brimstone,MaKo,Killjoy,Flashback,Breach,BeYN,Tejo,freeing,Raze,HYUNMIN,Brimstone,Persia,Killjoy,margaret,Breach,Francis,Tejo,Ivy,Neon,Dambi,DRX,NS
Champions Tour 2025: China Kickoff Semis,China,"Jan 20, 2025",1,Bind,BLG,FPX,Brimstone,rushia,Cypher,Knight,Viper,Levius,Skye,nephh,Raze,whzy,Astra,BerLIN,Clove,yosemite,Yoru,Autumn,Sova,AAAAY,Raze,Life,BLG,FPX
Champions Tour 2025: China Kickoff Semis,China,"Jan 20, 2025",2,Lotus,BLG,FPX,Omen,rushia,Killjoy,Levius,Viper,nephh,Fade,Knight,Raze,whzy,Astra,BerLIN,Viper,yosemite,Yoru,Autumn,Fade,AAAAY,Raze,Life,BLG,FPX
Champions Tour 2025: Pacific Kickoff Quarters,Pacific,"Jan 20, 2025",1,Bind,PRX,T1,Brimstone,mindfreak,Deadlock,f0rsakeN,Clove,d4v41,Fade,something,Raze,Jinggg,Brimstone,Sylvan,Vyse,Meteor,KAY/O,stax,Gekko,iZu,Raze,BuZz,T1,PRX
Champions Tour 2025: Pacific Kickoff Quarters,Pacific,"Jan 20, 2025",2,Fracture,PRX,T1,Brimstone,mindfreak,Killjoy,d4v41,Breach,something,Tejo,f0rsakeN,Raze,Jinggg,Brimstone,Sylvan,Killjoy,Meteor,Raze,iZu,Breach,stax,Neon,BuZz,PRX,T1
Champions Tour 2025: Pacific Kickoff Quarters,Pacific,"Jan 20, 2025",3,Split,PRX,T1,Omen,mindfreak,Sage,d4v41,Jett,something,Skye,f0rsakeN,Raze,Jinggg,Omen,Sylvan,Chamber,Meteor,Viper,iZu,Skye,stax,Raze,BuZz,T1,PRX
Champions Tour 2025: China Kickoff Semis,China,"Jan 20, 2025",1,Lotus,TE,EDG,Omen,LuoK1ng,Vyse,Kai,Viper,heybay,Fade,Biank,Raze,FengF,Omen,CHICHOO,Clove,Smoggy,Breach,S1Mon,Fade,nobody,Neon,ZmjjKK,TE,EDG
Champions Tour 2025: China Kickoff Semis,China,"Jan 20, 2025",2,Bind,TE,EDG,Brimstone,LuoK1ng,Vyse,Kai,Deadlock,heybay,Fade,Biank,Raze,FengF,Brimstone,Smoggy,Viper,CHICHOO,Tejo,S1Mon,Skye,nobody,Raze,ZmjjKK,TE,EDG
Champions Tour 2025: China Kickoff LR2,China,"Jan 21, 2025",1,Pearl,NOVA,DRG,Astra,Ezeir,Killjoy,CB,Vyse,GuanG,Skye,o0o0o,Jett,SWERL,Astra,Flex1n,Cypher,vo0kashu,KAY/O,Nicc,Fade,SpiritZ1,Jett,TvirusLuke,DRG,NOVA
